Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	109	V	827290.2331	1152863.642	52.02297848	92.23347967	41.2850742	126.9687308	-0.857048	0.383497	0.089077539	1251.631921	240.3905707	81.08488593	58.86363891	8.766625444	380.3390955	168.253805	0.282899599	3.017595718			
T1	110	V	827290.7981	1152862.817	75.85467955	161.8048554	54.38457352	47.89134782	4.835129	0.76679	0.838617339	1176.650829	241.0020768	56.96208476	57.41634683	2.972645264	355.3805084	102.2759213	0.258276369	2.927132183			
T1	111	V	827291.3632	1152861.992	19.87343976	76.93362878	18.79263212	81.47394619	-0.123554	0.0386	0.377156106	1135.612861	142.3921247	45.7173712	36.74509421	0.771452482	224.8545901	100.2665783	0.191428286	2.67999601			
T1	112	V	827291.9282	1152861.166	25.79545662	63.57107855	24.26188694	80.69062822	-0.556642	0.05477	0	1152.258451	216.0990243	55.41602616	50.36896665	1.964022101	321.8840171	104.9525152	0.177544782	2.219309776			
T1	113	V	827292.4932	1152860.341	8.02420654	88.45018839	0	104.5090043	-0.28695	0.286579	0.089095485	862.5571303	239.9959446	61.78954185	49.86740612	0.128616869	351.6528926	104.5090043	0.377123486	4.431200957			
T1	114	V	827293.0583	1152859.516	0	162.9161951	0	149.3736782	0.483661	0	0	691.8562216	401.6153395	55.86486851	63.84527318	0	521.3254812	149.3736782	0.261660558	3.401587255			
T1	115	V	827293.6233	1152858.691	0	87.4230949	0	74.3013832	0.468633	0	0	995.7889679	405.8661813	46.63959195	85.78701856	0	538.2927918	74.3013832	0.190777068	2.480101878			
T1	116	V	827294.1884	1152857.866	0.252635225	233.2871211	18.05598814	190.8838238	0.878569	-0.635834	1.28773571	1324.291536	387.1415797	72.31288037	77.63740262	0.564005643	537.0918627	208.9398119	NA	NA			
T1	118	V	827295.3185	1152856.216	228.3110015	134.7190226	290.8405192	274.1344781	-7.21232	-2.233197	3.123010124	1266.769857	134.9529286	114.4509366	61.62529482	3.520640378	311.02916	564.9749973	0.362214644	4.708790371			
T1	119	V	827295.8835	1152855.391	296.2228285	376.2226215	253.3306518	174.7117388	8.728681	1.531863	5.129805947	1344.281832	116.9607881	137.1235242	70.8737127	9.18913534	324.958025	428.0423906	0.474871764	5.413538111			
T1	120	V	827296.4485	1152854.566	126.1337074	306.0326952	410.5218365	150.1028971	-4.587798	-10.156719	6.602058694	1050.910725	214.6626762	150.3505918	86.45383563	7.050231373	451.4671036	560.6247336	NA	NA			
T1	121	V	827297.0136	1152853.741	240.2574983	213.9121704	206.7480116	312.6206435	-2.328535	1.196767	1.506264368	1215.315978	96.64961647	89.70722452	71.2650865	5.157881867	257.6219275	519.3686551	0.383456443	4.697341428			
T1	122	V	827297.5786	1152852.916	144.3764083	608.6958764	280.6395674	215.2555026	9.184901	-4.866541	3.567937815	1397.148787	158.5287143	136.8254766	113.0015256	7.679358514	408.3557165	495.89507	0.463012554	5.556150648			
T1	123	V	827298.1437	1152852.091	133.4934219	171.0087648	214.9266107	892.7314982	-28.68414	-2.908328	4.706888716	1062.174936	118.5897763	93.44474978	95.23788922	4.537075805	307.2724153	1107.658109	0.472923864	5.958840689			
T1	124	V	827298.7087	1152851.266	133.521011	181.8287833	190.4480525	188.9998941	-2.28922	-2.033109	2.472360424	1188.583412	80.2804752	101.3943086	80.17807991	3.221351241	261.8528637	379.4479466	0.371466875	4.921936091			
T1	125	V	827299.2737	1152850.441	144.3899585	244.5866668	224.0866219	241.5604067	-2.738229	-2.846309	7.378310408	965.965394	100.0299143	73.27025437	69.49627923	12.01913338	242.7964479	465.6470286	0.388598452	5.051779871			
T1	126	V	827299.8388	1152849.616	137.6681442	685.6695963	230.2905169	492.4586097	3.59245	-3.307942	6.055705345	1299.11838	243.1905303	151.8653291	157.747523	6.861873381	552.8033824	722.7491266	0.453126406	6.525020249			
T1	127	V	827300.4038	1152848.791	107.6915112	109.8117142	146.7180745	587.5600036	-18.456245	-1.393806	2.788795616	1052.877114	94.05212428	100.7460899	77.22790791	3.320615545	272.0261221	734.2780781	0.377510634	5.096393554			
T1	128	V	827300.9689	1152847.965	112.8759647	328.4306165	166.0599322	253.3870632	0.780699	-1.899427	6.222578655	1412.491019	166.3752329	137.42451	127.1918793	8.091853316	430.9916222	419.4469954	0.458973708	5.599479241			
